Tweet_ID;Blame_Negative_Demoralizing_Speech;Contains_Fake_Information;Dialect;Factual;Give_Advice;Hate_Speech;News_or_Opinion;Rise_Moral;Talk_About_Cure_or_Vaccine;Worth_Fact-checking
1250193860791328771;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1251532940179206146;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Yes
1324745105446785026;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1246542239347675136;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1319993070168002560;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1254034230193070080;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1246523536505810950;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1265565125186072580;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1243537977684496384;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1329035953437028352;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1245835871888322560;No;Can't decide;North Africa;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1245027082205302784;Yes;Maybe;Can't decide;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1266354877996756992;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1250106009756065794;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1251902430968786946;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1304759864191782912;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1930471306766671873;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1333130837206970374;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1248605485541941248;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;Yes;Can't decide
1286686097825824771;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1238562488448356352;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Maybe
1309107459764748289;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1244631585032413184;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Yes
1255908635697385474;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1333787694200045581;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1260836609735491586;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1323659989748252672;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1274679995391184897;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1233393567864950785;No;Can't decide;MSA;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1238812122479394816;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1272156935828144129;No;Can't decide;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Can't decide
1330863189043654662;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1288055434344005633;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1323662789743910914;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1230983929945108482;Yes;Yes;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1239020728466505734;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1240966325423550465;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1238893961013604353;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1271978420323442689;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1246799861242040321;No;Can't decide;North Africa;Can't decide;Yes;Not Hatfull;Opinion;No;No;Can't decide
1236540767910461446;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1231859322281480193;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1930815773163913217;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1314902896190857218;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1309325396912091142;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1330456872969793542;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1289284028651073540;No;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1246386145627385857;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1242376286011641856;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1239545485834280961;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1298390097583312898;No;Can't decide;Middle East;Can't decide;Yes;Not Hatfull;Opinion;No;No;Can't decide
1314680694946361354;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1242531843175526401;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
