1231283029953392647 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1316682318770319368 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1268173749922279426 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1269287440486973442 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1237790327412600832 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1283086567339368450 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1316398134734589952 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1326825987535986688 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: No
1238118110172938242 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1291115696726986753 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1239201619402731521 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: No || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1230954073777635329 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1268004942037553152 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1238710491939311616 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1317405676059185153 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1270000002471993350 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1268133357617119233 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1261083599224389633 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1285983479700889605 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
